question_id,question_number,question_text,question_file
0625_m15_qp_12_17,17,"Ice is trapped by a metal gauze at the bottom of a tube containing water.  The water is heated strongly at the top, but the ice only melts very slowly.  
heatwater boilingmetal gauzeice
  Why does the ice melt so slowly? A Heat energy always travels upwards. B Hot water is more dense than cold water. C Metal gauze does not allow heat to pass through. D Water is a poor conductor of heat. ",0625_m15_qp_12
0625_m15_qp_12_18,18,"A transverse wave moves along a rope.  The diagram shows the position of the rope at one particular time.  
WX Y Zrope
  Which two labelled points are one wavelength apart? A W and X B W and Z C X and Z D Y and Z     © UCLES 2015 0625/12/F/M/15 [Turn over",0625_m15_qp_12
0625_m15_qp_12_19,19,"The diagram shows a water wave passing through a gap in a harbour wall. The wavefronts curve round the wall and reach a small boat in the harbour.  
boatharbour wallharbou
rwavefront
gap
  What is the name of this curving effect, and how can the gap be changed so that the wavefronts do not reach the boat?   name of effect change to the gap 
A diffraction make the gap slightly bigger 
B diffraction make the gap slightly smaller 
C refraction make the gap slightly bigger 
D refraction make the gap slightly smaller 
",0625_m15_qp_12
0625_m15_qp_12_20,20,"Which labelled distance is the focal length of the lens?  
A
CB
D
     © UCLES 2015 0625/12/F/M/15",0625_m15_qp_12
0625_m15_qp_12_21,21,"A ray of light is reflected by two parallel plane mirrors X and Y.  
mirror X 
mirror Y 
30°30°
eye
  Which statement is correct? A The angle of incidence at mirror X is 30 °. B The angle of incidence at mirror Y is 60 °. C The angle of reflection at mirror X is 120 °. D The angle of reflection at mirror Y is 0°. ",0625_m15_qp_12
0625_m15_qp_12_22,22,How do infra-red waves differ from ultraviolet waves? A Infra-red waves are longitudinal. B Infra-red waves have a lower speed in vacuo (in a vacuum). C Infra-red waves have lower frequencies. D Infra-red waves have smaller wavelengths. ,0625_m15_qp_12
0625_m15_qp_12_23,23,"What is the approximate range of audible sound frequencies for a human with good hearing? A from 20
 Hz to 2000  Hz B from 20
 Hz to 20  000  Hz C from 200
 Hz to 20  000  Hz D from 200
 Hz to 200  000  Hz    1 © UCLES 2015 0625/12/F/M/15 [Turn over",0625_m15_qp_12
0625_m15_qp_12_24,24,"A pulse of sound is produced at the bottom of a boat. The sound travels through the water and is reflected from the sea-bed. The sound reaches the boat again after 1.3
 s. The sea-bed is 1000  m below the boat.  
sea-bedboat
1000  m
  Using this information, what is the speed of sound in the water? A 769
 m  / s B 1300  m  / s C 1538  m  / s D 2600  m  / s ",0625_m15_qp_12
0625_m15_qp_12_25,25,Which metal is suitable to use to make a permanent magnet? A aluminium B brass C iron D steel ,0625_m15_qp_12
0625_m15_qp_12_26,26,"The diagram shows two magnets and two iron rods placed in a line.  
NSmagnet ironrod NSmagnet J ironrod K
  Which magnetic poles are induced at the ends J and K of the iron rods?   pole induced at end J pole induced at end K 
A N N 
B N S 
C S N 
D S S 
   1 © UCLES 2015 0625/12/F/M/15",0625_m15_qp_12
0625_m15_qp_12_27,27,"A teacher wishes to show the production of electrostatic charges.  She holds a rod and rubs it with a cotton cloth. A copper rod, a glass rod, a plastic rod and a steel rod are available.  Which two rods would both be suitable to use? A a copper rod and a glass rod B a glass rod and a plastic rod C a plastic rod and a copper rod D a plastic rod and a steel rod ",0625_m15_qp_12
0625_m15_qp_12_28,28,"A student wishes to determine the resistance of a resistor. She uses an ammeter and a voltmeter in a circuit. In which circuit are the ammeter and voltmeter connected correctly?  
A VA
A
V
AVB
C
A
VD
    1 © UCLES 2015 0625/12/F/M/15 [Turn over",0625_m15_qp_12
0625_m15_qp_12_29,29,"A battery is connected to two crocodile clips and a lamp.  There is a gap between the crocodile clips.  
crocodile clips  Four cylinders W, X, Y and Z are made of the same metal but have different dimensions. The cylinders are connected in turn, by their ends, between the crocodile clips. The diagrams of the cylinders are all drawn to the same scale.  
WXYZ
  Which cylinder makes the lamp glow most brightly and which cylinder makes the lamp glow least brightly?   most brightly least brightly 
A W Y 
B W Z 
C X Y 
D X Z 
   1 © UCLES 2015 0625/12/F/M/15",0625_m15_qp_12
0625_m15_qp_12_30,30,"In which circuit can the lamps be switched on and off independently?  
A B
D C
 ",0625_m15_qp_12
0625_m15_qp_12_31,31,"Two resistors, with resistances R
1 and R 2, are connected in parallel.  The resistance R
1 is greater than the resistance R 2.  
R1
R2
  What is the resistance of the parallel combination? A less than either R
1 or R 2 B equal to R
1 C equal to R
2 D the average of R
1 and R 2    1 © UCLES 2015 0625/12/F/M/15 [Turn over",0625_m15_qp_12
0625_m15_qp_12_32,32,"In the circuit shown, the switch is closed for a long time, then opened.  
V V V voltmeter  voltmeter 2 voltmeter 
3 resistor capacitor  Immediately after the switch is opened, which of the voltmeters reads zero? A voltmeter 1 only B voltmeter 2 only C voltmeter 3 only D voltmeter 1, voltmeter 2 and voltmeter 3 ",0625_m15_qp_12
0625_m15_qp_12_33,33,"Either a fuse or a circuit-breaker can be used to protect electrical cables from large currents that could cause overheating.  
electricalsupplyXY appliance cable
cableliveneutral
  When a fuse is used, where should it be connected, and when a circuit-breaker is used, where should it be connected?   position of fuse position of circuit-breaker 
A X X 
B X Y 
C Y X 
D Y Y 
   1 © UCLES 2015 0625/12/F/M/15",0625_m15_qp_12
0625_m15_qp_12_34,34,Which device uses slip rings? A a d.c. electric motor B a relay C a transformer D an a.c. generator ,0625_m15_qp_12
0625_m15_qp_12_35,35,"The diagram shows a coil of wire connected to a voltmeter.  
Vcoil of wire
  A student has a magnet and an unmagnetised iron rod. How can an e.m.f. be induced across the coil? A holding the magnet inside the coil B holding the iron rod inside the coil C pushing the magnet into the coil D pushing the iron rod into the coil ",0625_m15_qp_12
0625_m15_qp_12_36,36,"A step-down transformer is used to light a 12
 V lamp from a 240  V mains supply. The lamp lights at normal brightness. The primary coil has 600 turns.  
240  V 12  V lampprimary coil600 turns secondary coil
  How many turns are in the secondary coil? A 12 B 20 C 30 D 50    1 © UCLES 2015 0625/12/F/M/15",0625_m15_qp_12
0625_m15_qp_12_37,37,What happens in the process of thermionic emission? A Complete molecules are emitted from the surface of a hot liquid. B Single atoms are emitted from the surface of a hot liquid. C Electrons are emitted from the surface of a hot metal. D Protons are emitted from the surface of a hot metal. ,0625_m15_qp_12
0625_m15_qp_12_38,38,"Which row shows the relative ionising effects and penetrating abilities of α-particles and  β-particles?   ionising effect penetrating ability 
A α greater than β α greater than β 
B α greater than β α less than β 
C α less than β α greater than β 
D α less than β α less than β 
",0625_m15_qp_12
0625_m15_qp_12_39,39,"A radioactive substance has a half-life of 2 weeks. At the beginning of an investigation, a sample of the substance emits 3000 β-particles per minute.  How many β-particles will it emit per minute after 6 weeks? A 0 B 375 C 500 D 1500 ",0625_m15_qp_12
0625_m15_qp_12_40,40,"A nuclide has the symbol 
C146.  How many protons are there in one nucleus of this nuclide? A 6 B 8 C 14 D 20    1 © UCLES 2015 0625/12/F/M/15  BLANK PAGE  1 © UCLES 2015 0625/12/F/M/15  BLANK PAGE    
Permission to reproduce items where third-par ty owned material protected by copyright is included has been sought and cleared w here possible. Every reasonable effort has been made by the publisher (UCLES) to t race copyright holders, but if any items requiring clearance have unwittingly been included, the publisher will be pleased to make amends at the earliest possible opportunity.  To avoid the issue of disclosure of answer-related information to candidates, all copyright acknowledgements are reproduced onl ine in the Cambridge International Examinations Copyright Acknowledgements Booklet. This is  produced for each series of examinations and is freely a vailable to download at www.cie.org.uk after the live examination series.  Cambridge International Examinations is part of the Cambridge A ssessment Group. Cambridge Assessment is the brand name of Unive rsity of Cambridge Local Examinations Syndicate (UCLES), which is itself a department of the University of Cambridge.  
© UCLES 2015 0625/12/F/M/15  BLANK PAGE ",0625_m15_qp_12
0625_m16_qp_22_01,1,The diameter of a copper wire is thought to be approximately 0.3  mm.  Which instrument should be used to obtain a more accurate measurement of the diameter of the wire? A measuring tape B metre rule C micrometer D ruler ,0625_m16_qp_22
0625_m16_qp_22_02,2,"Which is a unit of acceleration? A g
 / cm3 B m  / s C m  / s2 D N  / m ",0625_m16_qp_22
0625_m16_qp_22_03,3,"An object is released from rest and falls to Earth. During its fall, the object is affected by air resistance. The air resistance eventua lly reaches a constant value.  Which description about successive stages of the motion of the object is correct? A constant acceleration, then constant deceleration B constant deceleration, then zero acceleration C decreasing acceleration, then constant deceleration D decreasing acceleration, then zero acceleration ",0625_m16_qp_22
0625_m16_qp_22_04,4,"A concrete post is carried up a very high mountain. At the top of the mountain, the gravitational field is slightly weaker than at the bottom.  What is the effect of this weaker field on the mass and on the weight of the post at the top of the mountain?   mass weight 
A is less is less 
B is less is unchanged 
C is unchanged is less 
D is unchanged is unchanged 
    © UCLES 2016 0625/22/F/M/16 [Turn over",0625_m16_qp_22
0625_m16_qp_22_05,5,"The diagram shows a cuboid block made from a metal of density 2.5  g / cm3.  
2.0  cm2.0
 cm10 cm
  What is the mass of the block? A 8.0
 g B 16  g C 50  g D 100  g ",0625_m16_qp_22
0625_m16_qp_22_06,6,"The diagram shows an object moving at a constant speed in a circular path in the direction shown.  A force acts on the object to keep it in the circular path.  In which labelled direction does this force act, when the object is in the position shown?  
ACDBobject
path ofobject
     © UCLES 2016 0625/22/F/M/16",0625_m16_qp_22
0625_m16_qp_22_07,7,"A spring obeys Hooke’s law.  Which graph is obtained by plotting the exten sion of the spring against the load applied?  
extension00loadB
extension00loadC extension00loadDextension00loadA
 ",0625_m16_qp_22
0625_m16_qp_22_08,8,"Which is the value of a vector quantity? A 200
 V B 100
 kg  / m3 C 20
 m  / s, east D 50
 J / (kg  °C) ",0625_m16_qp_22
0625_m16_qp_22_09,9,"The table gives four energy sources and states whether the energy of the source is derived from the Sun.  Which row is correct?   source of energy derived from the Sun 
A geothermal yes 
B oil no 
C water held behind a dam yes 
D wind no 
    © UCLES 2016 0625/22/F/M/16 [Turn over",0625_m16_qp_22
0625_m16_qp_22_10,10,"A weight-lifter raises a 2000  N weight through a vertical height of 2.0  m in 0.80  s.  What useful power does he develop in doing this? A 800
 W B 3200  W C 4000  W D 5000  W ",0625_m16_qp_22
0625_m16_qp_22_11,11,"A wind turbine generates 54
 kW of useful power from an input of 180  kW of wind power.  Which calculation gives the percentage efficiency of the turbine? A 
100  00018000054   × % B 
100  00054000180   × % C 
000180100  00054  × % D 
00054100  000180  × % ",0625_m16_qp_22
0625_m16_qp_22_12,12,A force acts on an area to produce a pressure.  Which changes produce the same pressure? A double the area and double the force B double the area and halve the force C double the area and make the force four times bigger D halve the area and double the force     © UCLES 2016 0625/22/F/M/16,0625_m16_qp_22
0625_m16_qp_22_13,13,"Identical toy bricks are placed one on top of another to make a tower on a table.  
bricks
tower of bricks
table
  Which graph shows the relationship between the pressure P that the tower exerts on the table and the weight W of the tower?  
APW00BPW00CPW00DPW00
 ",0625_m16_qp_22
0625_m16_qp_22_14,14,"Gases can be compressed, but liquids cannot.  Which statement explains this difference? A Each molecule in a gas is more compressible than each molecule in a liquid. B Molecules in a gas are further apart than molecules in a liquid. C Molecules in a gas attract each other more strongly than molecules in a liquid. D Molecules in a gas move more slowly than molecules in a liquid.     © UCLES 2016 0625/22/F/M/16 [Turn over",0625_m16_qp_22
0625_m16_qp_22_15,15,"The diagram shows a quantity of gas trapped in a cylinder. The piston is pushed in slowly and the gas is compressed. The temperature of the gas does not change.  
gaspistonpiston pushed in
  Which graph shows the relationship between the pressure and the volume of the gas?  
Apressure
volume00Bpressure
volume00
Cpressure
volume00Dpressure
volume00
 ",0625_m16_qp_22
0625_m16_qp_22_16,16,"Which quantity gives the thermal capacity of a solid object? A the energy lost by radiation from the object in 1.0
 s B the energy needed to melt the object C the energy needed to raise the temperature of the object by 1.0
 °C D the total amount of thermal energy in the object     © UCLES 2016 0625/22/F/M/16",0625_m16_qp_22
0625_m16_qp_22_17,17,"To mark a temperature scale on a thermometer, standard temperatures known as fixed points are needed.  Which of these is a fixed point on the Celsius scale? A room temperature B the temperature inside a freezer C the temperature of pure melting ice D the temperature of pure warm water ",0625_m16_qp_22
0625_m16_qp_22_18,18,"In an experiment, a liquid is heated at a constant rate.  The temperature of the liquid increases and eventually becomes constant.  Which statement about the experiment is correct? A Boiling occurs at all temperatures but only on the liquid surface. B Boiling occurs throughout the liquid but only at the constant temperature. C Evaporation occurs throughout the liquid and at all temperatures. D Evaporation occurs only at the constant temperature and only on the liquid surface. ",0625_m16_qp_22
0625_m16_qp_22_19,19,One end of a copper rod is heated.  What is one method by which thermal energy is transferred in the copper rod? A Free electrons transfer energy from the cooler end to the hotter end. B Free electrons transfer energy from the hotter end to the cooler end. C Molecules of copper move from the cooler end to the hotter end. D Molecules of copper move from the hotter end to the cooler end.     © UCLES 2016 0625/22/F/M/16 [Turn over,0625_m16_qp_22
0625_m16_qp_22_20,20,"Two plastic cups are placed one inside the other. A small spacer keeps the two cups separated.   Hot water is poured into the inner cup and a lid is put on top, as shown.  
lid
small spacer
small air gap
hot water
bench
  Which statement is correct? A The bench is heated by convection from the bottom of the outer cup. B The lid reduces the energy lost by convection. C There is no thermal conduction through the sides of either cup. D Thermal radiation is prevented by the small air gap. ",0625_m16_qp_22
0625_m16_qp_22_21,21,Which is a unit of wavelength? A hertz B metre C metre per second D second     © UCLES 2016 0625/22/F/M/16,0625_m16_qp_22
0625_m16_qp_22_22,22,"Which diagram correctly shows a ray of light reflected by a plane mirror?  
40°ray oflight50°A
40°ray oflight50°B
40°40°ray oflightCray oflight50°50°
D
    1 © UCLES 2016 0625/22/F/M/16 [Turn over",0625_m16_qp_22
0625_m16_qp_22_23,23,"Which diagram shows how a converging lens is used as a magnifying glass?  
lensF A
BF objectimage
lensF CF
objectimage
D
lensF FobjectimagelensF Fimageobject
    1 © UCLES 2016 0625/22/F/M/16",0625_m16_qp_22
0625_m16_qp_22_24,24,"A sound wave travels from a point X to a point Y.  
X Y  Which diagram represents the movement of the air molecules, due to the sound wave, in the region between X and Y?  
DCB A
 ",0625_m16_qp_22
0625_m16_qp_22_25,25,"The speed of sound in air is 340
 m  / s.  Which row gives typical values for the speed of sound in a liquid and in a solid?   speed of sound in a liquid
 / (m  / s) speed of sound in a solid  / (m  / s) 
A   250   180 
B   250 5000 
C 1500   180 
D 1500 5000 
",0625_m16_qp_22
0625_m16_qp_22_26,26,In which pair are both materials magnetic? A aluminium and copper B copper and iron C iron and steel D steel and aluminium ,0625_m16_qp_22
0625_m16_qp_22_27,27,"Which methods could be used to demagnetise a magnet?  method 1: place it in an east-west direction and hammer it method 2: place it in an east-west direction and heat it until it is red hot method 3: pull it slowly from a coil that is carrying an alternating current method 4: put it slowly into a coil that is carrying a direct current  A methods 1, 2 and 3 B methods 2, 3 and 4 C methods 1 and 2 only D methods 3 and 4 only    1 © UCLES 2016 0625/22/F/M/16 [Turn over",0625_m16_qp_22
0625_m16_qp_22_28,28,Which produces an electromotive force (e.m.f.)? A a battery B a filament lamp C a resistor D a spring balance ,0625_m16_qp_22
0625_m16_qp_22_29,29,"The table describes four different resistance wires. They are all made from the same metal.  Which wire has the smallest resistance?   length of  wire
 / m diameter of  wire  / mm 
A 2.0 1.0 
B 2.0 1. C 3.0 1.0 
D 3.0 1. ",0625_m16_qp_22
0625_m16_qp_22_30,30,"Which circuit shows the directions of the conventional current I and the flow of electrons?  
electrons IAelectrons IB
electrons ICelectrons ID
    1 © UCLES 2016 0625/22/F/M/16",0625_m16_qp_22
0625_m16_qp_22_31,31,"Four lamps are each labelled 240  V.  In which circuit do all four lamps have normal brightness?  
240  VA240  VB
240  VC240  VD
 ",0625_m16_qp_22
0625_m16_qp_22_32,32,"A battery charger plugs into a 230
 V a.c. supply. The charger is used to charge a 6.0  V d.c. battery.  The charger contains diodes and a transformer.  What is the purpose of these components?   diodes transformer 
A rectify the a.c. steps down the voltage 
B rectify the a.c. steps up the voltage 
C step down the voltage rectifies the a.c. 
D step up the voltage rectifies the a.c. 
   1 © UCLES 2016 0625/22/F/M/16 [Turn over",0625_m16_qp_22
0625_m16_qp_22_33,33,"The diagram shows a potential divider connected to two voltmeters P and Q.  
V voltmeter QVvoltmeter P
  The resistance of the variable resistor is decreased.  Which row shows what happens to the reading on each voltmeter?   reading on voltmeter P reading on voltmeter Q 
A decreases decreases 
B decreases increases 
C increases decreases 
D increases increases 
",0625_m16_qp_22
0625_m16_qp_22_34,34,"After some building work in a house, a bare (uninsulated) live wire is left protruding from a wall.  What is the greatest hazard? A a fire B a fuse blows C an electric shock D no current flows    1 © UCLES 2016 0625/22/F/M/16",0625_m16_qp_22
0625_m16_qp_22_35,35,"An electron moves into a uniform magnetic field.  The arrow shows the initial direction of motion of the electron.  The direction of the magnetic field is into the plane of the page (away from you).  
uniformmagnetic fieldelectron
  In which direction does a force act on the electron when it enters the magnetic field? A into the page B out of the page C towards the bottom of the page D towards the top of the page ",0625_m16_qp_22
0625_m16_qp_22_36,36,"The diagram shows an a.c. generator.  
NScoil
output voltagerotationof coil
  As the coil passes through the position shown, the output voltage is +10
 V.  When does the output voltage become –10
 V? A when the coil has turned through 90 ° B when the coil has turned through 180 ° C when the coil has turned through 270 ° D when the coil has turned through 360 °   1 © UCLES 2016 0625/22/F/M/16",0625_m16_qp_22
0625_m16_qp_22_37,37,The scattering of α-particles by a thin metal foil supports the nuclear model of an atom.  Why are α-particles used rather than neutrons? A because they always travel more slowly B because they are heavier C because they are larger in diameter D because they have a positive charge ,0625_m16_qp_22
0625_m16_qp_22_38,38,"A nucleus of a radioactive substance
 Po21884 undergoes an α-decay followed by a β-decay.  What are the nucleon (mass) number and proton (atomic) number of the nuclide formed after both decays have happened?   nucleon number proton number 
A 214 8 B 216 8 C 214 8 D 216 8 ",0625_m16_qp_22
0625_m16_qp_22_39,39,"A scientist carries out an experiment using a sealed source which emits β-particles. The range of the β-particles in the air is about 30
 cm.  Which precaution is the most effective to protect the scientist from the radiation? A handling the source with long tongs B keeping the temperature of the source low C opening all windows in the laboratory D washing his hands before leaving the laboratory ",0625_m16_qp_22
0625_m16_qp_22_40,40,"Which row describes the nature of α-particles and of γ-rays?   α-particles γ-rays 
A helium nuclei electromagnetic radiation 
B helium nuclei electrons 
C protons electromagnetic radiation 
D protons electrons 
   1 © UCLES 2016 0625/22/F/M/16  BLANK PAGE     1 © UCLES 2016 0625/22/F/M/16  BLANK PAGE       
Permission to reproduce items where third-par ty owned material protected by copyright is included has been sought and cleared w here possible. Every reasonable effort has been made by the publisher (UCLES) to t race copyright holders, but if any items requiring clearance have unwittingly been included, the publisher will be pleased to make amends at the earliest possible opportunity.  To avoid the issue of disclosure of answer-related information to candidates, all copyright acknowledgements are reproduced onl ine in the Cambridge International Examinations Copyright Acknowledgements Booklet. This is  produced for each series of examinations and is freely a vailable to download at www.cie.org.uk after the live examination series.  Cambridge International Examinations is part of the Cambridge Asse ssment Group. Cambridge Assessment is the brand name of Unive rsity of Cambridge Local Examinations Syndicate (UCLES), which is itself a department of the University of Cambridge.  
© UCLES 2016 0625/22/F/M/16  BLANK PAGE     ",0625_m16_qp_22
0625_m17_qp_22_01,1,"The diagram shows the height of a stack of identical coins.  
2.40  cm stack ofcoins
  What is the thickness of one coin? A 0.20
 mm B 2.0  mm C 0.24  cm D 2.0  cm ",0625_m17_qp_22
0625_m17_qp_22_02,2,"Four balls with different masses are dropped from the heights shown.  
4.0  kgP
1.0
 m3.0  kgQ
2.0
 m2.0  kgR
3.0
 m1.0  kgS
4.0
 mground
  Air resistance may be ignored.  Which statement about the balls is correct? A Ball P has the greatest acceleration. B Balls Q and R take the same time to fall to the ground. C The acceleration of ball R is half the acceleration of ball P. D Ball S has the greatest average speed.     © UCLES 2017 0625/22/F/M/17 [Turn over",0625_m17_qp_22
0625_m17_qp_22_03,3,"An object is travelling in a straight line. The diagram is the speed-time graph for the object.  At which labelled point is the object accelerating at a changing rate?  
B
00speedm / s
time
 / sACD
 ",0625_m17_qp_22
0625_m17_qp_22_04,4,"Which statement about the masses and weights of objects on the Earth is correct? A A balance can only be used to compare weights, not masses. B Heavy objects always have more mass than light ones. C Large objects always have more mass than small ones. D Mass is a force but weight is not. ",0625_m17_qp_22
0625_m17_qp_22_05,5,"An object in a space probe above the Earth weighs 3.5
 N. The gravitational field strength at the height of the space probe is 7.0
 N  / kg.  The gravitational field strength on the Earth’s surface is 10
 N  / kg.  What are the mass and the weight of the object on the Earth’s surface?   mass
 / kg weight  / N 
A 0.50 3. B 0.50 5.0 
C 2.0 3. D 2.0 20 
    © UCLES 2017 0625/22/F/M/17",0625_m17_qp_22
0625_m17_qp_22_06,6,"A skydiver jumps from a stationary helicopter and reaches a steady vertical speed. She then opens her parachute.  Which statement about the falling skydiver is correct? A As her parachute opens, her acceleration is upwards. B As she falls at a steady speed with her parachute open, her weight is zero. C When she accelerates, the resultant force on her is zero. D When she falls at a steady speed, air resistance is zero. ",0625_m17_qp_22
0625_m17_qp_22_07,7,"A car moves in a circular path as it turns a corner on a horizontal road.  The car moves at constant speed.  
path of ca rcardirectionof travel
  Which description of the forces acting on the car is correct? A All the forces are balanced as the car is moving at constant speed. B The forces are unbalanced and the resultant force acts away from the centre of the circle. C The forces are unbalanced and the resultant force acts towards the centre of the circle. D The forces are unbalanced and the resultant force is in the direction of travel of the car. ",0625_m17_qp_22
0625_m17_qp_22_08,8,"A moving body undergoes a change of momentum.  What is a unit for change of momentum? A N
 m B N  / m C N  s D N  / s     © UCLES 2017 0625/22/F/M/17 [Turn over",0625_m17_qp_22
0625_m17_qp_22_09,9,"A man can either take an escalator or a lift to travel up between two floors in a hotel.  
escalator lift  The escalator takes 20 seconds to carry the man between the two floors. The useful work done against gravity is W. The useful power developed is P.  The lift takes 30 seconds to carry the same man between the same two floors.  How much useful work against gravity is done by the lift, and how much useful power is developed by the lift?   useful work done against gravity by lift useful power developed by lift 
A more than W less than P 
B more than W P 
C W less than P 
D W P 
",0625_m17_qp_22
0625_m17_qp_22_10,10,"A 40
 W lamp wastes 34  J of energy every second by heating its surroundings.  What is the efficiency of the lamp? A 0.15% B 15% C 18% D 85% ",0625_m17_qp_22
0625_m17_qp_22_11,11,"A column of liquid has height h, mass m and density ρ. The gravitational field strength is g.  Which expression gives the pressure due to the column of liquid? A hρ B mρ C mgh D ρ
 gh     © UCLES 2017 0625/22/F/M/17",0625_m17_qp_22
0625_m17_qp_22_12,12,"The diagrams show two mercury barometers. The right-hand diagram shows a tube of larger diameter. There is a vacuum above the mercury in both tubes.  Which labelled position on the right-hand tube shows the mercury level in the right-hand tube?  
mercury glasstubesA 
B 
C 
D 
 ",0625_m17_qp_22
0625_m17_qp_22_13,13,"Very small pollen grains are suspended in water. A bright light shines from the side.  When looked at through a microscope, small specks of light are seen to be moving in a random, jerky manner.  
bright light
pollen grainsin watermicroscopeeye
  What are the moving specks of light? A pollen grains being hit by other pollen grains B pollen grains being hit by water molecules C water molecules being hit by other water molecules D water molecules being hit by pollen grains     © UCLES 2017 0625/22/F/M/17 [Turn over",0625_m17_qp_22
