question_number,question_page,question_text
22,10,"The diagram shows light travelling from air into glass.  Four angles v, w, x and y are shown.  
vwyxnormalairglasslight
  Which formula is used to calculate the refractive index n of the glass? A n = 
yv sin sin B n = xv sin sin C n = 
yw sin sin D n = xw sin sin "
23,10,"The diagram shows a converging lens forming an image of an object.  
imageobjectX
Y
  Which statement about the image is correct? A It is real and can be seen by an eye at X. B It is real and can be seen by an eye at Y. C It is virtual and can be seen by an eye at X. D It is virtual and can be seen by an eye at Y.  1 © UCLES 2016 0625/21/M/J/16 [Turn over"
24,11,"A sound wave travels through air as a series of compressions and rarefactions.  Which row correctly compares the air pressure in a compression and the air pressure in a rarefaction to the air pressure nearby where there is no sound wave?   air pressure in a compression air pressure in a rarefaction 
A higher higher 
B higher lower 
C lower higher 
D lower lower 
"
25,11,A sound wave has a certain amplitude and a certain frequency.  A second sound wave is quieter and lower in pitch than the first sound wave.  The second wave has A a larger amplitude and a greater frequency. B a larger amplitude and a smaller frequency. C a smaller amplitude and a greater frequency. D a smaller amplitude and a smaller frequency. 
26,11,What is an electric field? A a region around a wire carrying an electric current in which a compass needle experiences a force B a region in which an electric charge experiences a force C a region in which an electric charge is attracted by the Earth’s gravity D a region through which electromagnetic radiation is passing    1 © UCLES 2016 0625/21/M/J/16
27,12,"A negatively charged rod is held close to one side of a metal sphere. The other side of the sphere is earthed.  Which diagram shows the distribution of charge on the metal sphere?  
A––––––––
++––B––––
++++C––––
++++D––––
 "
28,12,"A cell is connected to a lamp, as shown.  
+–
  A charge of 4.0
 C flows through the lamp in 2.0  s.  What is the direction of the electron flow in the lamp and what is the current in the lamp?   direction of electron flow in lamp current
 / A 
A from left to right 2.0 
B from left to right 8.0 
C from right to left 2.0 
D from right to left 8.0 
   1 © UCLES 2016 0625/21/M/J/16 [Turn over"
29,13,"The diagrams show four current-voltage graphs.  Which two graphs show the characteristics of an ohmic resistor and of a filament lamp?  
currentvoltageW currentvoltageX currentvoltageY currentvoltageZ00
000000
   ohmic resistor filament lamp 
A W Y 
B X Y 
C W Z 
D X Z 
"
30,13,"The four circuits shown all include an a.c. power supply, two diodes and a lamp.  In which circuit is there a rectified current in the lamp?  
A
C DB
    1 © UCLES 2016 0625/21/M/J/16"
31,14,"The diagram shows a combination of logic gates.  
input P(= 0) output Xoutput Y input Q(= 1)
  Input P is at a logic state 0 (low) and input Q is at a logic state 1 (high).  What are the logic states at output X and at output Y?   output X output Y 
A 0 0 
B 0  C 1 0 
D 1  "
32,14,"The diagram shows part of a circuit used to switch street lamps on and off automatically.  
+
–LDR
  In the evening it gets dark.  Which row shows the effect on the resistance of the light-dependent resistor (LDR) and on the potential difference (p.d.) across it?   resistance of LDR p.d. across LDR 
A decreases decreases 
B decreases increases 
C increases decreases 
D increases increases 
   1 © UCLES 2016 0625/21/M/J/16 [Turn over"
33,15,"A domestic circuit includes a 30  A fuse. This protects the wiring if there is too much current in the circuit.  In which wire is the 30
 A fuse positioned, and what does it do when it operates?   position operation 
A live wire disconnects the circuit 
B live wire reduces the current to 30  A 
C neutral wire disconnects the circuit 
D neutral wire reduces the current to 30  A 
"
34,15,"A strong electromagnet is used to attract pins.  
core
pinscoilcurrent
  What happens when the current in the coil is halved? A No pins are attracted. B Some pins are attracted, but not as many. C The same number of pins is attracted. D More pins are attracted.    1 © UCLES 2016 0625/21/M/J/16"
35,16,"The diagram shows a transformer.  
primary coil800 turnssecondary coil40 turnsinputvoltage output voltage
  
  The input voltage is 240
 V.  What is the output voltage? A 6.0
 V B 12  V C 20  V D 40  V "
36,16,"The diagram shows a shaded area where the direction of a magnetic field is into the page.  A beam of β-particles enters the field as shown.  
magnetic fieldinto the pagebeam ofβ-particles
  In which direction is the beam of β-particles deflected as they enter the magnetic field? A into the page B out of the page C down the page D up the page    1 © UCLES 2016 0625/21/M/J/16 [Turn over"
37,17,"The arrangement shown is used to check whether the flour inside a cardboard packet is above a certain level. If it is above this level, the flour absorbs the radiation from the source so that it doesn’t reach the detector.  
radioactivesourcecardboardpacketdetector
flour
  Which type of radiation is suitable to use? A α-particles only B β-particles only C either α-particles or β-particles D γ-rays only "
38,17,"A nucleus of americium 
Am24395 emits an α-particle to form a nucleus of neptunium (Np).  Which equation represents this decay? A 
Am24395  →  Np24797  +  α42 B 
Am24395  →  Np24396  +  α01- C 
Am24395  →  Np24394  +  α01- D 
Am24395  →  Np23993  +  α42 "
39,17,A certain element has several isotopes. Which statement about these isotopes is correct? A They must have different numbers of electrons orbiting their nuclei. B They must have the same number of neutrons in their nuclei. C They must have the same number of nucleons in their nuclei. D They must have the same number of protons in their nuclei.    1 © UCLES 2016 0625/21/M/J/16
40,18,"A reading is taken every 10 minutes of the number of emissions per second from a radioactive source. The table shows the readings.  time
 / min number of emissions per second 
0 800 
10 560 
20 400 
30 280 
40 200 
50 140 
60 100 
 What is the half-life of the source? A 10
 min B 20  min C 40  min D 60  min    1 © UCLES 2016 0625/21/M/J/16  BLANK PAGE       
Permission to reproduce items where third-par ty owned material protected by copyright is  included has been sought and cleared w here possible. Every reasonable effort has been made by the publisher (UCLES) to trace copyright holder s, but if any items requiring clearance have unwittingly been included, the publisher will be pleased to make amends at the earliest possible opportunity.  To avoid the issue of disclosure of answer-related information to candidates, all copyright acknowledgements are reproduced onl ine in the Cambridge International Examinations Copyright Acknowledgements Booklet. This is produced for each series of examinations and is freely a vailable to download at www.cie.org.uk after the live examination series.  Cambridge International Examinations is part of the Cambridge Asse ssment Group. Cambridge Assessment is the brand name of Unive rsity of Cambridge Local Examinations Syndicate (UCLES), which is itself a department of the University of Cambridge.  
© UCLES 2016 0625/21/M/J/16  BLANK PAGE    "
